"","area","parameter","compactness","kernelLength","kernelWidth","asymmetryCoefficient","kernelGroveLength","variety","PC1","PC2"
"85",19.51,16.71,0.878,6.366,3.801,2.962,6.185,2,-3.51833065153969,0.443688037027032
"86",18.27,16.09,0.887,6.173,3.651,2.443,6.197,2,-2.91882382407222,-0.0906840463581151
"87",18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2,-3.22330738917846,-0.818271877561107
"88",18.98,16.66,0.859,6.549,3.67,3.691,6.498,2,-3.41156942876158,1.57445631124951
"89",21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2,-4.4650282340846,1.42652419641931
"90",20.88,17.05,0.9031,6.45,4.032,5.016,6.321,2,-4.4268161071259,0.967371269862716
"91",20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2,-4.13793205771531,0.370599591597665
"92",18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2,-3.16283389481067,-0.16741199339561
"93",18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2,-3.07779608550146,0.147598562989253
"94",18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2,-2.76048548322994,0.793787386721708
"95",18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2,-2.87017000264311,2.53417072094345
"96",16.87,15.65,0.8648,6.139,3.463,3.696,5.967,2,-1.76790791958038,0.828550101267346
"97",19.31,16.59,0.8815,6.341,3.81,3.477,6.238,2,-3.47574602172091,0.627585439734029
"98",18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2,-3.35071545616252,0.569282448981533
"99",18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2,-2.64978424629636,0.783424867377767
"100",18.72,16.34,0.881,6.219,3.684,2.188,6.097,2,-3.02489895409038,-0.123270647060834
"101",16.41,15.25,0.8866,5.718,3.525,4.217,5.618,2,-1.17048557530718,0.0761288461957922
"102",17.99,15.86,0.8992,5.89,3.694,2.068,5.837,2,-2.46605377593348,-0.981169287613202
"103",19.46,16.5,0.8985,6.113,3.892,4.308,6.009,2,-3.29753069787274,0.331608611350094
"104",19.18,16.63,0.8717,6.369,3.681,3.357,6.229,2,-3.2358544316365,0.837177878638296
"105",18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2,-3.16546308183805,0.434727729390017
"106",18.83,16.29,0.8917,6.037,3.786,2.553,5.879,2,-2.89258568799498,-0.474495317116173
"107",18.85,16.17,0.9056,6.152,3.806,2.843,6.2,2,-3.38085105731684,-0.361396078327921
"108",17.63,15.86,0.88,6.033,3.573,3.747,5.929,2,-2.12395625745894,0.42050269409067
"109",19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2,-4.138685572223,1.09760750137313
"110",18.55,16.22,0.8865,6.153,3.674,1.738,5.894,2,-2.82389213419844,-0.653651141015124
"111",18.45,16.12,0.8921,6.107,3.769,2.235,5.794,2,-2.78733142932548,-0.676916520884797
"112",19.38,16.72,0.8716,6.303,3.791,3.678,5.965,2,-3.12531211089441,0.732806020868023
"113",19.13,16.31,0.9035,6.183,3.902,2.109,5.924,2,-3.42650674453415,-0.879838378991996
"114",19.14,16.61,0.8722,6.259,3.737,6.682,6.053,2,-2.78673241218278,2.20614666778139
"115",20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2,-4.39041308533414,1.26595939700147
"116",19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2,-3.44130256069988,-0.0515933598537417
"117",18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2,-2.96795202394285,-0.115019591936251
"118",19.15,16.45,0.889,6.245,3.815,3.084,6.185,2,-3.39512182773749,0.174938155112543
"119",18.89,16.23,0.9008,6.227,3.769,3.639,5.966,2,-3.13310812600659,-0.00344529957246514
"120",20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2,-3.98230177339898,0.58473981910305
"121",20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2,-3.74071838019718,1.53135226901666
"122",18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2,-2.3450437888175,0.521664305405784
"123",16.17,15.38,0.8588,5.762,3.387,4.286,5.703,2,-0.797311169128992,0.866067248207029
"124",18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2,-2.82563745471686,-0.653444097539245
"125",15.99,14.89,0.9064,5.363,3.582,3.336,5.144,2,-0.638824661748029,-1.3607329503184
"126",18.75,16.18,0.8999,6.111,3.869,4.188,5.992,2,-3.06510214332965,0.209106273121038
"127",18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2,-2.69656894843211,1.24409698297111
"128",17.98,15.85,0.8993,5.979,3.687,2.257,5.919,2,-2.58905419959311,-0.787560106236465
"129",20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2,-3.86455655408094,0.146382282639128
"130",17.55,15.66,0.8991,5.791,3.69,5.366,5.661,2,-1.83182764973191,0.396782530276658
"131",18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2,-2.85228768133715,-0.751062081394072
"132",18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2,-3.12293932023107,-0.266868082437023
"133",15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2,-0.69152107322154,0.811735533325779
"134",16.16,15.33,0.8644,5.845,3.395,4.266,5.795,2,-1.007094068638,0.834539901923674
"135",15.56,14.89,0.8823,5.776,3.408,4.972,5.847,2,-0.910680251411241,0.740341016930244
"136",15.38,14.66,0.899,5.477,3.465,3.6,5.439,2,-0.567580348682833,-0.773965043695707
"137",17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2,-2.19006278812604,0.423817446444857
"138",15.57,15.15,0.8527,5.92,3.231,2.64,5.879,2,-0.797244655356574,0.454319840578644
"139",15.6,15.11,0.858,5.832,3.286,2.725,5.752,2,-0.722580032095778,0.218491609128311
"140",16.23,15.18,0.885,5.872,3.472,3.769,5.922,2,-1.46189349204176,0.213486081097296
"141",13.07,13.92,0.848,5.472,2.994,5.304,5.395,3,1.34705861838228,1.22129609196882
"142",13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3,1.09089611221972,1.79455988084076
"143",13.34,13.95,0.862,5.389,3.074,5.995,5.307,3,1.24308887449325,1.11080312294058
"144",12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3,1.8962474553546,0.627950767212293
"145",11.82,13.4,0.8274,5.314,2.777,4.471,5.178,3,2.46021476037139,1.06762843475103
"146",11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3,2.96434924668703,2.17987321690713
"147",11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3,2.59657584583863,-0.244219695468461
"148",12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3,1.84931063947062,-0.0217762849052187
"149",12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3,1.53988767832085,0.13024886473078
"150",10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3,3.18282927726724,1.9279955965645
"151",11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3,2.18800675213327,0.960670539698352
"152",12.01,13.52,0.8249,5.405,2.776,6.992,5.27,3,2.46061431103603,2.44827584612258
"153",12.26,13.6,0.8333,5.408,2.833,4.756,5.36,3,1.98130614299845,1.25434953601943
"154",11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3,2.92471487428443,0.359889995206967
"155",11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3,2.5799533129855,0.604792494820705
"156",11.19,13.05,0.8253,5.25,2.675,5.813,5.219,3,2.95111760996463,1.75946859251337
"157",11.34,12.87,0.8596,5.053,2.849,3.347,5.003,3,2.55138185655411,-0.505721586755842
"158",12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3,2.48259182406463,1.77197880930511
"159",11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3,2.53326349922878,1.65265194350664
"160",11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3,2.65631115915419,1.63687688935029
"161",12.54,13.67,0.8425,5.451,2.879,3.082,5.491,3,1.47785043583961,0.363555081599424
"162",12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3,1.99444107626952,0.563088025529594
"163",12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3,2.36474128235887,0.854100475042138
"164",12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3,1.71871970557427,0.372743233388357
"165",11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3,2.9605307008191,1.05509292307588
"166",12.1,13.15,0.8793,5.105,2.941,2.201,5.056,3,1.82231240653404,-1.4319043028805
"167",12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3,1.9018644247058,0.916352338092226
"168",12.15,13.45,0.8443,5.417,2.837,3.638,5.338,3,1.83575659320328,0.450377728412375
"169",11.35,13.12,0.8291,5.176,2.668,4.337,5.132,3,2.88924024741057,0.877584056714223
"170",11.24,13,0.8359,5.09,2.715,3.521,5.088,3,2.86550164012753,0.23925359934504
"171",11.02,13,0.8189,5.325,2.701,6.735,5.163,3,3.08442714020855,2.32147784549919
"172",11.55,13.1,0.8455,5.167,2.845,6.715,4.956,3,2.80533409756822,1.45073496116145
"173",11.27,12.97,0.8419,5.088,2.763,4.309,5,3,2.87915851662941,0.395650866601062
"174",11.4,13.08,0.8375,5.136,2.763,5.588,5.089,3,2.85865905934619,1.20287985312425
"175",10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3,3.20624508964953,1.79182878523636
"176",10.8,12.57,0.859,4.981,2.821,4.773,5.063,3,2.90856160590633,0.18461755969347
"177",11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3,2.91775749679636,1.16317905338565
"178",10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3,3.29111032433807,0.799781146161222
"179",11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3,2.79662752812346,1.07476794922042
"180",12.21,13.47,0.8453,5.357,2.893,1.661,5.178,3,1.77126739789745,-0.680784863842583
"181",11.41,12.95,0.856,5.09,2.775,4.957,4.825,3,2.87258142856115,0.251767455226337
"182",12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3,1.71732594836716,0.218531057242204
"183",12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3,2.02536785231827,0.478934597781678
"184",11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3,2.45030353059045,0.571349271222245
"185",12.89,13.77,0.8541,5.495,3.026,6.185,5.316,3,1.42688268644054,1.43363199971396
"186",11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3,2.64489227046608,1.0895402734262
"187",11.81,13.45,0.8198,5.413,2.716,4.898,5.352,3,2.40583100716709,1.64294310367037
"188",10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3,3.17196772170199,0.418115279038619
"189",11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3,2.95107829474056,1.47617436699994
"190",10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3,3.27194430490211,-0.0952279498395242
"191",10.93,12.8,0.839,5.046,2.717,5.398,5.045,3,3.16595463930347,0.99500055428914
"192",11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3,2.67132059180849,-0.0988790683901105
"193",11.87,13.02,0.8795,5.132,2.953,3.597,5.132,3,1.90982814769563,-0.714072981832568
"194",10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3,3.22361415107724,1.15909225207282
"195",12.11,13.27,0.8639,5.236,2.975,4.132,5.012,3,1.98365232751912,-0.14191952532933
"196",12.8,13.47,0.886,5.16,3.126,4.873,4.914,3,1.58685951053779,-0.421548040397619
"197",12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3,1.6896671727789,0.124540758392684
"198",13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3,1.09716149144185,-0.258954345948095
"199",12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3,1.62500220297201,0.117194674870876
"200",12.76,13.38,0.8964,5.073,3.155,2.828,4.83,3,1.45615320971973,-1.74950558564658
"201",12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3,2.00009289767409,0.590659093516149
"202",12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3,1.60822606115632,-2.13547469526275
"203",11.18,12.72,0.868,5.009,2.81,4.051,4.828,3,2.80824709132205,-0.51199022733506
"204",12.7,13.41,0.8874,5.183,3.091,8.456,5,3,1.83922796109811,1.33817647744008
"205",12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3,2.00035093715396,-0.085687265374953
"206",12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3,1.98636080478758,-0.86389129585004
"207",11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3,2.72036423379132,0.207693442207607
"208",13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3,1.40028683732502,1.29549700790281
"209",11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3,2.33375128950229,-0.0994610350881465
"210",12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3,1.9512903414179,0.523819521502338
